ngay,sanluong,chatbeo,protein,bo,phomai,suatachkem,suadac,suanguyenchat
2003-06,886974,4.17,3.37,8941,52105,4919,23384,8707
2003-07,909078,4.13,3.39,9121,54487,5374,22700,10177
2003-08,882573,4.12,3.35,7091,54426,3399,25555,9787
2003-09,877872,4.3,3.47,7665,55156,3947,21047,9126
2003-10,891775,4.5,3.61,7870,58276,5049,23981,9022
2003-11,834164,4.6,3.59,8530,54296,4467,22025,9084
2003-12,883774,4.56,3.53,10394,54778,6091,23710,9714
2004-01,898295,4.56,3.48,9016,57011,6021,22578,9476
2004-02,820157,4.52,3.45,7415,51404,4523,20890,8710
2004-03,853169,4.57,3.48,9280,55869,3257,23925,8894
2004-04,907755,4.46,3.46,9324,55855,4046,23211,9100
2004-05,933123,4.35,3.46,9229,57154,5300,20636,10330
2004-06,888247,4.27,3.46,7381,53608,4238,25417,9901
2004-07,896818,4.23,3.44,7722,56342,3603,24009,9526
2004-08,881526,4.19,3.38,7321,53418,3121,23206,8736
2004-09,852279,4.32,3.48,7487,52666,3391,24854,7355
2004-10,885904,4.46,3.58,7773,56492,4041,26553,8000
2004-11,850159,4.54,3.57,9306,54020,4440,25119,9348
2004-12,893568,4.58,3.57,9746,55462,5019,19703,11623
2005-01,903748,4.56,3.52,12343,57176,5093,21350,10857
2005-02,814364,4.56,3.51,10105,52076,4866,21206,6899
2005-03,867684,4.56,3.51,11302,55400,5314,19472,9980
2005-04,897959,4.43,3.45,10407,54506,4988,24358,9518
2005-05,916551,4.34,3.43,10218,55617,6231,24468,10075
2005-06,879730,4.21,3.44,9880,53008,4493,25929,8998
2005-07,886707,4.16,3.41,9332,55270,4074,26673,8357
2005-08,873200,4.21,3.47,9362,57370,4240,25319,7715
2005-09,844583,4.25,3.48,6480,55900,2988,25724,7833
2005-10,865368,4.39,3.55,8692,58626,3824,24775,8840
2005-11,831770,4.47,3.56,8559,56515,2578,28458,7729
2005-12,897236,4.56,3.57,12120,60736,4509,24068,10401
2006-01,917593,4.59,3.55,13211,60737,5536,25502,9983
2006-02,838236,4.57,3.53,12762,53676,5232,23312,8183
2006-03,915834,4.58,3.53,13422,58430,5278,25161,10322
2006-04,893601,4.51,3.46,13371,60033,4767,25754,9725
2006-05,938341,4.33,3.43,12828,57692,4719,27142,9810
2006-06,894141,4.21,3.42,10665,58367,4514,24846,9366
2006-07,884641,4.12,3.35,8805,59830,3486,26038,7998
2006-08,878191,4.2,3.41,8148,60916,3140,24337,6775
2006-09,841919,4.28,3.47,6138,58821,2074,25030,7584
2006-10,880013,4.35,3.53,6929,61645,2314,27987,7738
2006-11,851159,4.46,3.57,7530,60676,3015,26068,7608
2006-12,922931,4.48,3.55,11291,63177,4825,27723,10508
2007-01,941646,4.47,3.51,11458,63747,5454,27071,9017
2007-02,850368,4.48,3.5,11198,56640,3953,23456,10731
2007-03,933867,4.46,3.49,12035,63648,4293,27721,10328
2007-04,916428,4.37,3.47,11726,61132,4578,25176,10115
2007-05,937149,4.26,3.46,11341,62304,3490,32120,11766
2007-06,876821,4.18,3.42,9972,56385,3288,29529,9132
2007-07,874295,4.18,3.41,9317,59789,2599,27198,7578
2007-08,873407,4.2,3.45,9075,60202,2497,27216,8054
2007-09,842751,4.32,3.53,8069,59932,2513,22680,6571
2007-10,888288,4.41,3.58,10350,63067,2029,28034,8157
2007-11,872161,4.48,3.59,10748,59346,3256,27406,8519
2007-12,929961,4.5,3.57,13909,64143,4917,29130,9874
2008-01,982854,4.48,3.52,12400,62708,5849,30326,10060
2008-02,927165,4.44,3.5,12288,59665,4879,29392,9641
2008-03,971343,4.49,3.5,12299,62388,4559,27206,11147
2008-04,942305,4.46,3.49,13064,59601,5107,28042,11778
2008-05,982925,4.28,3.44,10640,60255,4988,30930,12291
2008-06,930210,4.2,3.43,8093,57741,4937,27854,9392
2008-07,923852,4.19,3.42,8273,62562,3297,28015,8213
2008-08,905034,4.19,3.43,9032,60369,2619,30247,7691
2008-09,898081,4.28,3.52,7483,59067,2619,30389,10527
2008-10,932447,4.41,3.59,9114,60714,4624,23249,11940
2008-11,914886,4.48,3.59,9842,55975,5463,26683,10343
2008-12,983470,4.52,3.59,11782,60653,6290,29565,13918
2009-01,1004180,4.55,3.56,12898,61208,6550,26444,12898
2009-02,917999,4.52,3.53,12257,55036,6019,25138,10175
2009-03,964132,4.46,3.49,12203,59796,5449,25593,13154
2009-04,986761,4.38,3.46,11563,57960,6061,27937,11621
2009-05,1007598,4.27,3.46,10377,61005,5865,30013,13183
2009-06,969229,4.19,3.45,9178,58789,5395,29208,11364
2009-07,957219,4.17,3.41,7620,59663,5311,23572,12165
2009-08,940254,4.17,3.42,7009,59743,5427,23808,10590
2009-09,907539,4.29,3.5,6543,57895,3079,25116,10212
2009-10,930968,4.42,3.46,7055,61184,3732,29573,11101
2009-11,912316,4.54,3.54,8782,57045,4187,28785,10542
2009-12,970386,4.41,3.4,11696,62771,6831,24578,13233
2010-01,983099,4.57,3.53,14355,63125,6266,23052,11763
2010-02,917294,4.54,3.55,12327,58847,3710,24326,13062
2010-03,1016775,4.55,3.52,13506,64743,6073,29129,11319
2010-04,999853,4.41,3.5,13330,63321,6409,26740,10339
2010-05,1028234,4.34,3.48,11972,65822,6290,30753,11105
2010-06,980834,4.23,3.46,9476,62379,5562,31158,10834
2010-07,984366,4.13,3.38,9516,63276,4997,29713,11168
2010-08,973754,4.21,3.46,11463,62957,5026,28923,10947
2010-09,920678,4.35,3.54,9784,58583,4899,30795,11202
2010-10,939412,4.45,3.6,8404,62736,4724,29767,11736
2010-11,918029,4.56,3.61,7644,62327,3986,30891,9825
2010-12,963794,4.67,3.63,11642,64520,5689,32037,12158
2011-01,996942,4.56,3.57,12130,65490,6402,28106,11265
2011-02,913932,4.52,3.53,10194,58800,4254,29770,10504
2011-03,1006645,4.52,3.53,10427,66373,4245,30161,13170
2011-04,1009174,4.39,3.47,10274,63096,5559,31287,10848
2011-05,1029062,4.28,3.46,11098,65061,6264,32218,10900
2011-06,981391,4.25,3.45,11152,59361,5185,28895,11075
2011-07,988024,4.22,3.44,11067,61771,6370,29707,11147
2011-08,955778,4.26,3.46,11260,62358,4901,28440,10708
2011-09,910081,4.31,3.49,9950,58884,3520,28556,8575
2011-10,941301,4.41,3.56,10038,62191,4891,25948,11092
2011-11,918202,4.53,3.63,8599,61371,3914,28024,10427
2011-12,991187,4.53,3.55,12799,64924,6222,33308,11742
2012-01,1023015,4.48,3.57,12917,65821,6994,29767,11954
2012-02,944916,4.59,3.6,12386,61730,5533,30523,9372
2012-03,1037702,4.46,3.53,13818,66103,5728,27959,11442
2012-04,998315,4.43,3.52,11894,63307,6043,32211,10860
2012-05,1024366,4.32,3.47,14113,65235,5951,31201,10082
